St	Category	4/80cen	7/81	7/82	7/83	7/84	7/85	7/86	7/87	7/88	7/89
DE	BIRTHS	11578	9218	9269	9156	9495	9685	9793	10125	10499	8163
DE	DEATHS	6312	5078	5074	5080	5320	5543	5587	5734	5813	4447
DE	RESIDUAL	-3629	-966	2115	2030	2540	5137	5182	6283	5965	4179
DC	POPULATION	638333	636893	634174	632433	633382	634549	638269	636930	630432	624168
DC	CHANGE	-1440	-2719	-1742	950	1167	3719	-1339	-6497	-6265	-17268
DC	%CHANGE	-0.23	-0.43	-0.27	0.15	0.18	0.59	-0.21	-1.02	-0.99	-2.77
DC	BIRTHS	11535	9391	9515	9470	9707	9903	10117	10329	10997	8839
DC	DEATHS	8648	6645	6602	6719	6842	7095	7312	7576	7651	5839
DC	RESIDUAL	-4326	-5464	-4654	-1801	-1698	911	-4144	-9250	-9610	-20267
FL	POPULATION	9746324	10192774	10471407	10749851	11039925	11351118	11667505	11997283	12306395	12637715
FL	CHANGE	446450	278633	278443	290074	311193	316387	329778	309112	331321	300211
FL	%CHANGE	4.58	2.73	2.66	2.7	2.82	2.79	2.83	2.58	2.69	2.38
FL	BIRTHS	167038	142002	147738	150817	160360	166103	171410	179216	185899	144609
FL	DEATHS	132702	108556	111061	114625	118381	121996	125386	130839	132485	101186
FL	RESIDUAL	412114	245187	241766	253882	269214	272279	283753	260734	277906	256787
GA	POPULATION	5463105	5568345	5649792	5728250	5834954	5962661	6084666	6208467	6316142	6411099
GA	CHANGE	105240	81447	78458	106704	127707	122005	123801	107675	94957	67117
GA	%CHANGE	1.93	1.46	1.39	1.86	2.19	2.05	2.03	1.73	1.5	1.05
GA	BIRTHS	113327	90426	90827	90263	94793	97469	100349	104004	107611	84239
GA	DEATHS	55506	44484	45364	46694	47976	49008	49677	51427	52165	39939
GA	RESIDUAL	47418	35505	32994	63135	80890	73543	73128	55097	39511	22816
HI	POPULATION	964691	978195	993780	1012717	1027922	1039698	1051762	1067918	1079828	1094588
HI	CHANGE	13504	15586	18937	15204	11776	12065	16156	11910	14760	13641
HI	%CHANGE	1.4	1.59	1.91	1.5	1.15	1.16	1.54	1.12	1.37	1.25
HI	BIRTHS	22542	18494	19009	18695	18572	18316	18417	18714	19057	14788
HI	DEATHS	6092	5016	5281	5516	5694	5776	5959	6125	6281	4987
HI	RESIDUAL	-2946	2107	5208	2025	-1101	-475	3697	-678	1983	3839
ID	POPULATION	943935	962204	973721	981869	990839	994051	990224	984997	985664	994416
ID	CHANGE	18269	11517	8149	8970	3212	-3827	-5227	666	8752	12333
ID	%CHANGE	1.94	1.2	0.84	0.91	0.32	-0.38	-0.53	0.07	0.89	1.24
ID	BIRTHS	24693	19612	19297	18178	17877	17038	16188	15797	15722	12149
ID	DEATHS	8505	6900	7086	7253	7213	7233	7313	7562	7563	5663
ID	RESIDUAL	2080	-1195	-4062	-1955	-7451	-13631	-14101	-7568	592	5847
IL	POPULATION	11426518	11443458	11423412	11408818	11412132	11399806	11387257	11391178	11390183	11409782
IL	CHANGE	16940	-20046	-14594	3314	-12326	-12550	3921	-996	19599	20820
IL	%CHANGE	0.15	-0.18	-0.13	0.03	-0.11	-0.11	0.03	-0.01	0.17	0.18
IL	BIRTHS	233433	184964	182469	177201	180979	179168	178636	182262	186690	145506
